artist,uri
Thomas Rhett,spotify:artist:6x2LnllRG5uGarZMsD4iO8
Saweetie,spotify:artist:6cK3NBO6uP7hh0oyuVELFl
Luke Bryan,spotify:artist:0BvkDsjIUla7X0k6CSWh1I
blackbear,spotify:artist:2cFrymmkijnjDg9SS92EPM
Roddy Ricch,spotify:artist:757aE44tKEUQEqRuT6GnEB
Pooh Shiesty,spotify:artist:5F1aAS1duwlzExnPs3l2Xe
Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
Ava Max,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F
Florida Georgia Line,spotify:artist:3b8QkneNDz4JHKKKlLgYZg
Lil Tjay,spotify:artist:6jGMq4yGs7aQzuGsMgVgZR
Kali Uchis,spotify:artist:1U1el3k54VvEUzo3ybLPlM
CJ,spotify:artist:7arQA31aZVS8yS6zUveWzb
Jason Aldean,spotify:artist:3FfvYsEGaIb52QPXhg4DcH
H.E.R.,spotify:artist:3Y7RZ31TRPVadSFVy1o8os
Kane Brown,spotify:artist:3oSJ7TBVCWMDMiYjXNiCKE
Miranda Lambert,spotify:artist:66lH4jAE7pqPlOlzUKbwA0
Maroon 5,spotify:artist:04gDigrS5kc9YWfZHwBETP
Machine Gun Kelly,spotify:artist:6TIYQ3jFPwQSRmorSezPxX
iann dior,spotify:artist:6ASri4ePR7RlsvIQgWPJpS
Måneskin,spotify:artist:0lAWpj5szCSwM4rUMHYmrr
Jordan Davis,spotify:artist:77kULmXAQ6vWer7IIHdGzI
DJ Khaled,spotify:artist:0QHgL1lAIqAw0HtD7YldmP
Gunna,spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ
YoungBoy Never Broke Again,spotify:artist:7wlFDEWiM5OoIAt8RSli8b
Jhayco,spotify:artist:6nVcHLIgY5pE2YCl8ubca1
Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3
Yung Bleu,spotify:artist:3KNIG74xSTc3dj0TRy7pGX
SpotemGottem,spotify:artist:3Y2MLcrD3ZQXRXmtn4fZQx
Mariah Carey,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ
Mooski,spotify:artist:4NqH3V7GS0Igs1VyGMXEi8
Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
Duncan Laurence,spotify:artist:3klZnJvYGIbWritVwQD434
Niko Moon,spotify:artist:6Rw7DRa1dzChBvxGPCpOxU
Andy Williams,spotify:artist:4sj6D0zlMOl25nprDJBiU9
Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY
Eric Church,spotify:artist:2IvkS5MXK0vPGnwyJsrEyV
Brenda Lee,spotify:artist:4cPHsZM98sKzmV26wlwD2W
Ritt Momney,spotify:artist:7MPGCB854Qo4alYMOPkBka
Rauw Alejandro,spotify:artist:1mcTU81TzQhprhouKaTkpq
Morray,spotify:artist:44vREmJC0OlVZjZaGLqVEd
Cole Swindell,spotify:artist:1mfDfLsMxYcOOZkzBxvSVW
Lainey Wilson,spotify:artist:6tPHARSq45lQ8BSALCfkFC
Migos,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG
Wizkid,spotify:artist:3tVQdUvClmAT7URs9V3rsp
BRS Kash,spotify:artist:5jJjvmEwRr8epuGZq4eUUa
Farruko,spotify:artist:329e4yvIujISKGKz1BZZbO
Ryan Hurd,spotify:artist:7lDVEkjIURPMyUYwoQRrpw
Sam Hunt,spotify:artist:2kucQ9jQwuD8jWdtR9Ef38
Dierks Bentley,spotify:artist:7x8nK0m0cP2ksQf0mjWdPS
Jake Owen,spotify:artist:1n2pb9Tsfe4SwAjmUac6YT
Dustin Lynch,spotify:artist:1dID9zgn0OV0Y8ud7Mh2tS
Adele,spotify:artist:4dpARuHxo51G3z768sgnrY
Lewis Capaldi,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB
Tai Verdes,spotify:artist:2kCO8LXN1usaOPL3iEE28I
Lee Brice,spotify:artist:5Zq7R5qmi58ByYyBQTlNuk
Carrie Underwood,spotify:artist:4xFUf1FHVy696Q1JQZMTRj
Kenny Chesney,spotify:artist:3grHWM9bx2E9vwJCdlRv9O
Coi Leray,spotify:artist:6AMd49uBDJfhf30Ak2QR5s
