artist,uri
George Ezra,spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j
DeJ Loaf,spotify:artist:7kFfY4UjNdNyaeUgLIEbIF
Tim McGraw,spotify:artist:6roFdX1y5BYSbp60OTJWMd
Kelly Clarkson,spotify:artist:3BmGtnKgCSGYIUhmivXKWX
Jidenna,spotify:artist:4TsHKU8l8Wq7n7OPVikirn
Echosmith,spotify:artist:1PbBg2aYjWLKRk84zJK15x
Ella Henderson,spotify:artist:7nDsS0l5ZAzMedVRKPP8F1
Alessia Cara,spotify:artist:2wUjUUtkb5lvLKcGKsKqsR
Mr. Probz,spotify:artist:33W1pnW9zScZtYTnAoWnOT
A$AP Rocky,spotify:artist:13ubrt8QOOCPljQ2FL1Kca
Chris Janson,spotify:artist:60gmlHZmT16wiO9GiXKYK9
Zedd,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq
Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q
Remy Boyz,spotify:artist:2s0yxtiHiyGe6CY4mbDYFi
Paul McCartney,spotify:artist:4STHEaNw4mPZ2tzheohgXB
James Newton Howard,spotify:artist:2M4eNCvV3CJUswavkhAQg2
ILOVEMAKONNEN,spotify:artist:3aGFCoR8xGN6DKwvdzeSja
