artist,uri
Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X
Lil Wayne,spotify:artist:55Aa2cqylxrFIXC767Z865
5 Seconds of Summer,spotify:artist:5Rl15oVamLq7FbSb0NNBNy
SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP
Portugal. The Man,spotify:artist:4kI8Ie27vjvonwaB2ePh8T
Luke Combs,spotify:artist:718COspgdWOnwOFpJHRZHS
Lauv,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv
Thomas Rhett,spotify:artist:6x2LnllRG5uGarZMsD4iO8
Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL
BlocBoy JB,spotify:artist:4TEJudQY2pXxVHPE3gD2EU
Sam Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI
Maren Morris,spotify:artist:6WY7D3jk8zTrHtmkqqo5GI
Jason Aldean,spotify:artist:3FfvYsEGaIb52QPXhg4DcH
Offset,spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW
Luke Bryan,spotify:artist:0BvkDsjIUla7X0k6CSWh1I
Kodak Black,spotify:artist:46SHBwWsqBkxI7EeeBEQG7
Young Thug,spotify:artist:50co4Is1HCEo8bhOyUWKpn
Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
Ty Dolla $ign,spotify:artist:7c0XG5cIJTrrAgEC3ULPiq
Tyga,spotify:artist:5LHRHt1k9lMyONurDHEdrp
Logic,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L
Brett Young,spotify:artist:0fiWOxhsBsQQvFDtxUQWo0
Zedd,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq
Normani,spotify:artist:2cWZOOzeOm4WmBJRnD5R7I
Old Dominion,spotify:artist:6y8XlgIV8BLlIg1tT1R10i
Grey,spotify:artist:4lDBihdpMlOalxy1jkUbPl
Famous Dex,spotify:artist:0WOxhx4hikIsyF3CRPLC8W
Kenny Chesney,spotify:artist:3grHWM9bx2E9vwJCdlRv9O
Lil Uzi Vert,spotify:artist:4O15NlyKLIASxsJ0PrXPfz
Metro Boomin,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
Justin Timberlake,spotify:artist:31TPClRtHm23RisEBtV3X7
Daddy Yankee,spotify:artist:4VMYDCV2IEDYJArk749S6m
Russell Dickerson,spotify:artist:1E2AEtxaFaJtH0lO7kgNKw
Anne-Marie,spotify:artist:1zNqDE7qDGCsyzJwohVaoX
Lil Dicky,spotify:artist:1tqhsYv8yBBdwANFNzHtcr
YG,spotify:artist:0A0FS04o6zMoto8OKPsDwY
Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m
DJ Khaled,spotify:artist:0QHgL1lAIqAw0HtD7YldmP
Chris Brown,spotify:artist:7bXgB6jMjp9ATFy66eO08Z
Blake Shelton,spotify:artist:1UTPBmNbXNTittyMJrNkvw
Gucci Mane,spotify:artist:13y7CgLHjMVRMDqxdx0Xdo
Quavo,spotify:artist:0VRj0yCOv2FXJNP47XQnx5
The Carters,spotify:artist:4fpTMHe34LC5t3h5ztK8qu
Lil Skies,spotify:artist:7d3WFRME3vBY2cgoP38RDo
Chris Stapleton,spotify:artist:4YLtscXsxbVgi031ovDDdh
MAX,spotify:artist:1bqxdqvUtPWZri43cKHac8
Ozuna,spotify:artist:1i8SpTcr7yvPOmcqrbnVXY
P!nk,spotify:artist:1KCSPY1glIKqW2TotWuXOR
Miguel,spotify:artist:360IAlyVv4PCEVjgyMZrxK
Calvin Harris,spotify:artist:7CajNmpbOovFoOoasH2HaY
Panic! At The Disco,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK
lovelytheband,spotify:artist:4KJ6jujcNPzOyhdNoiNftp
Foster The People,spotify:artist:7gP3bB2nilZXLfPHJhMdvc
Eric Church,spotify:artist:2IvkS5MXK0vPGnwyJsrEyV
Chris Young,spotify:artist:4BYxqVkZyFjtik7crYLg5Q
A$AP Ferg,spotify:artist:5dHt1vcEm9qb8fCyLcB3HL
A$AP Rocky,spotify:artist:13ubrt8QOOCPljQ2FL1Kca
Queen Naija,spotify:artist:3nViOFa3kZW8OMSNOzwr98
