artist,uri
PSY,spotify:artist:2dd5mrQZvg6SmahdgVKDzh
Ne-Yo,spotify:artist:21E3waRsmPlU7jZsS13rcj
Lee Brice,spotify:artist:5Zq7R5qmi58ByYyBQTlNuk
Blake Shelton,spotify:artist:1UTPBmNbXNTittyMJrNkvw
Phillip Phillips,spotify:artist:6p5JxpTc7USNnBnLzctyd4
Lady A,spotify:artist:32WkQRZEVKSzVAAYqukAEA
Karmin,spotify:artist:4M0DLz8te9Q1lNIXBBwvfG
Miranda Lambert,spotify:artist:66lH4jAE7pqPlOlzUKbwA0
Toby Keith,spotify:artist:2bA6fzP0lMAQ4kz6CF61w8
Cher Lloyd,spotify:artist:4m4SfDVbF5wxrwEjDKgi4k
Zac Brown Band,spotify:artist:6yJCxee7QumYr820xdIsjo
Gavin DeGraw,spotify:artist:5DYAABs8rkY9VhwtENoQCz
Coldplay,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU
Tim McGraw,spotify:artist:6roFdX1y5BYSbp60OTJWMd
Rascal Flatts,spotify:artist:0a1gHP0HAqALbEyxaD5Ngn
Dierks Bentley,spotify:artist:7x8nK0m0cP2ksQf0mjWdPS
Glee Cast,spotify:artist:0SCbttzoZTnLFebDYmAWCm
Jake Owen,spotify:artist:1n2pb9Tsfe4SwAjmUac6YT
Little Big Town,spotify:artist:3CygdxquGHurS7f9LjNLkv
The Lumineers,spotify:artist:16oZKvXb6WkQlVAjwo2Wbg
Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q
Mumford & Sons,spotify:artist:3gd8FJtBJtkRxdfbTu19U2
The Band Perry,spotify:artist:75FnCoo4FBxH5K1Rrx0k5A
Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m
Kip Moore,spotify:artist:2hJPr4lk7Q8SSvCVBl9fWM
Owl City,spotify:artist:07QEuhtrNmmZ0zEcqE9SF6
Miguel,spotify:artist:360IAlyVv4PCEVjgyMZrxK
Kirko Bangz,spotify:artist:2r8r62VGJKGi463aH1HJUZ
Christina Aguilera,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS
Keith Urban,spotify:artist:0u2FHSq3ln94y5Q57xazwf
Kesha,spotify:artist:6LqNN22kT3074XbTVUrhzX
Selena Gomez & The Scene,spotify:artist:6dJeKm76NjfXBNTpHmOhfO
Christina Perri,spotify:artist:7H55rcKCfwqkyDFH9wpKM6
Ca$h Out,spotify:artist:7Kp7SzuRuNiPFCy7JIwnLx
Eli Young Band,spotify:artist:6eKWqnckwdIlSnjaYgIyxv
Foster The People,spotify:artist:7gP3bB2nilZXLfPHJhMdvc
Linkin Park,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
Of Monsters and Men,spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz
Future,spotify:artist:1RyvyyTE3xzB2ZywiAwp0i
Love and Theft,spotify:artist:03a5eVjzFyQlR4XyVSwt4t
Josh Turner,spotify:artist:7vCtweS8UVAXTyau2j0rDT
Snoop Dogg,spotify:artist:7hJcb9fa4alzcOq3EaNPoG
Gloriana,spotify:artist:5RjqSn7vYk8Qb9GeLWRRhB
Dustin Lynch,spotify:artist:1dID9zgn0OV0Y8ud7Mh2tS
Wale,spotify:artist:67nwj3Y5sZQLl72VNUHEYE
Rick Ross,spotify:artist:1sBkRIssrMs1AbVkOJbc7a
Outasight,spotify:artist:1zuG3w1Zgeou53fb3Vu3bO
Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM
T-Pain,spotify:artist:3aQeKQSyrW4qWr35idm0cy
Brantley Gilbert,spotify:artist:5q8HGNo0BjLWaTAhRtbwxa
